区域,餐饮类型编码,餐饮类型名称,POI名称,详细地址,经度(lon),纬度(lat),联系电话,营业时段
中牟县,50100,中餐厅,金唐鲤.新豫菜(象湖店),郑东新区郑开大道与杨桥大道交叉口西南角伟业国际A座4层,113.863939,34.773007,0371-55387616;17319785417,8：00——22：00
中牟县,50100,中餐厅,丰源烩面(解放路店),解放路与荟萃路交叉口西南角,114.029364,34.727377,18037300079,8：00——22：00
中牟县,50100,中餐厅,仲和小馆(象湖店),吉瑞路与中山路交叉口东80米,113.912326,34.796901,0371-88925556;19339979000,8：00——22：00
中牟县,50100,中餐厅,苏园·禧宴(中牟店),清阳街与牟山路交叉口,113.978031,34.721913,0371-85390088,8：00——22：00
中牟县,50100,中餐厅,特味村美食生态园(中牟天天假日隐居酒店店),前程大道与延福路交叉口西120米,113.874595,34.725712,19103818000,8：00——22：00
中牟县,50100,中餐厅,员和记牛肉火锅(中牟店),宝峰街7号天泽城广场F2层,113.961567,34.716955,0371-62368868;18601057739,8：00——22：00
中牟县,50100,中餐厅,驴肉村生态园酒店(总店),华夏大道黄商村东口,113.833489,34.653799,0371-62271211;13526652391,8：00——22：00
中牟县,50100,中餐厅,兰湘子.湘菜小炒(郑州杉杉奥莱·中牟店店),杉杉奥莱1期A20800(2楼近4号门),114.027402,34.783139,17604809703,8：00——22：00
中牟县,50100,中餐厅,杨掌柜辣椒炒肉(中茂新悦城店),中茂尚悦广场,113.937882,34.722003,0371-55982965;19036952959,8：00——22：00
中牟县,50100,中餐厅,京熙·涮肉(桥航路店),航空港区豫发·大运城白鹭源北门旁,113.862189,34.580006,0371-89906663,8：00——22：00
中牟县,50100,中餐厅,九味川香麻婆豆腐(刘集店),中山路与吉瑞路交叉口西北角,113.910953,34.797068,18838187699,8：00——22：00
中牟县,50100,中餐厅,西郊竹园甲鱼面(象湖店),俊贤路与凤栖街交叉口东40米,113.903235,34.776128,0371-65839888;13419778366,8：00——22：00
中牟县,50100,中餐厅,川上川菜馆(普罗理想国店),普罗理想国西6苑北2门旁,114.022014,34.790396,0371-55387488,8：00——22：00
中牟县,50100,中餐厅,一家人大灶台(白沙旗舰总店),郑东新世界南门西150米,113.898238,34.740064,0371-62180877;13526407688;15938726297,8：00——22：00
中牟县,50100,中餐厅,丰源烩面(象湖店),恭秀路与永顺路交叉路口西北角,113.853234,34.760108,0371-62238567;19937860111,8：00——22：00
中牟县,50100,中餐厅,樊老七乡村地锅柴鸡,绿博2号5号院南门027号,113.976309,34.766275,13213011136;13526898952,8：00——22：00
中牟县,50100,中餐厅,麦浪餐厅,只有河南·戏剧幻城内(西侧),114.000069,34.798213,4000001992,8：00——22：00
中牟县,50100,中餐厅,熊喵来了火锅(郑州上东里店),郑东新区白沙园区郑开大道55号上东国际3号楼2层202室,113.853786,34.773861,13298158366,8：00——22：00
中牟县,50100,中餐厅,鱼酷活鱼烤鱼(郑州中牟杉杉奥特莱斯广场店),一期3号门二楼,114.02755,34.782616,13523460671,8：00——22：00
中牟县,50100,中餐厅,牛师傅羊排大虾(锦荣悦汇城店),航空港区郑港六路与郑港四街交汇处锦荣悦汇城1层东门扶梯口C座1-D1051号,113.862931,34.564872,0371-89957109;15378768942,8：00——22：00
中牟县,50100,中餐厅,西关味(上东国际店),白沙镇郑开大道与芦医庙大街交汇处上东里4号楼1楼103-1105,113.854616,34.773579,0371-60239363,8：00——22：00
中牟县,50100,中餐厅,凤合林融合餐厅(上东里店),上东里202-208,113.852675,34.774075,13283827711;17639920888,8：00——22：00
中牟县,50100,中餐厅,兰湘子.湘菜小炒(世纪城时代广场店),世纪城时代广场4楼,114.018305,34.723459,15324801543,8：00——22：00
中牟县,50100,中餐厅,虎丫炒鸡(河南郑州中牟上东里店),白沙镇象湖南路62号(象湖南路与芦医庙大街交汇处东北角),113.854482,34.77375,19003831261,8：00——22：00
中牟县,50100,中餐厅,阿平小馆(上东里店),白沙镇上东里3号楼1层122号商铺阿平小馆,113.8535,34.773619,15890610683;17719826838;19529965667,8：00——22：00
中牟县,50100,中餐厅,杨掌柜辣椒炒肉(象湖店),永顺路55号,113.857573,34.772715,0371-86603600,8：00——22：00
中牟县,50100,中餐厅,伊园盛宴.清真(中牟幻乐之城店),商都大道龙跃建材大市场院内,114.000346,34.719647,13043979993,8：00——22：00
中牟县,50100,中餐厅,姐弟俩土豆粉(郑州东上东里店),郑开大道55号上东里3号楼一层,113.853963,34.773911,13333810590,8：00——22：00
中牟县,50100,中餐厅,豫姥家大锅台(豫兴家苑六号院店),豫兴街道松鹤街80号豫兴家苑六号院,113.913944,34.79693,13949119898;18738135723,8：00——22：00
中牟县,50100,中餐厅,驴肉村牟州宴(中牟分店),学苑路青阳街交叉口南100米路东,113.976265,34.712571,0371-55981211;17335703999,8：00——22：00
中牟县,50100,中餐厅,一家人手擀面大盘鸡(郑铁店),郑州铁路职业技术学院东门东北210米,113.891182,34.799099,0371-60187611,8：00——22：00
中牟县,50100,中餐厅,朴园·信阳土菜馆,城市漫部西门北90米,113.982353,34.722734,13253561635,8：00——22：00
中牟县,50100,中餐厅,高湘小炒黄牛肉(凌空街店),航空港区营河社区西门南230米,113.867943,34.564429,0371-63386677;13071087767;19913821713,8：00——22：00
中牟县,50100,中餐厅,鱼你在一起(上东里店),上东里3号楼129.130号,113.854172,34.773913,18037327228,8：00——22：00
中牟县,50100,中餐厅,虎丫炒鸡(河南郑州中牟世纪城店),建设路世纪城时代广场4楼,114.01829,34.723456,19939996239,8：00——22：00
