区域,餐饮类型编码,餐饮类型名称,POI名称,详细地址,经度(lon),纬度(lat),联系电话,营业时段
巩义市,50100,中餐厅,廣順興(巩义碧桂园·星耀店),碧桂园营销中心附近,113.009825,34.760258,15890666060,8:00——22：00
巩义市,50100,中餐厅,西义兴,310国道东50米,112.998436,34.736502,0371-66558866,8:00——22：00
巩义市,50100,中餐厅,小暖厨品质长沙菜(三荆居店),紫荆路街道锦里路11号三荆居,113.014105,34.75418,0371-68166222,8:00——22：00
巩义市,50100,中餐厅,湘大嫂(北官庄新心花苑店),新心花苑住宅小区2区西门旁,113.028381,34.74473,18638589994,8:00——22：00
巩义市,50100,中餐厅,黑土风情铁锅炖(陇海花苑店),中原西路119-33号,112.999764,34.745111,0371-69598099;18697038398,8:00——22：00
巩义市,50100,中餐厅,虎丫炒鸡(星月时代广场店),新兴路45号星月时代广场2F层,112.98499,34.755028,13453020226;18530892987,8:00——22：00
巩义市,50100,中餐厅,巩义宴天下,嵩山路华裕国际酒店,113.019181,34.744633,0371-64576111;0371-64576118,8:00——22：00
巩义市,50100,中餐厅,花溪融合餐厅,砖桥沟巷,112.985238,34.753509,19137601239,8:00——22：00
巩义市,50100,中餐厅,巩义宴,紫荆路与莲青路交叉口(原建业春天里售楼部),113.026094,34.731063,0371-64366668;13526414678;15838264989,8:00——22：00
巩义市,50100,中餐厅,西义兴饭庄(东区店),陇海路110号附42号,113.014244,34.745021,0371-66550055;15238318988,8:00——22：00
巩义市,50100,中餐厅,岩哥土鲫鱼(巩义店),桐和街与桐本路交叉口向东一百米路南,112.993794,34.756978,18317727297,8:00——22：00
巩义市,50100,中餐厅,笨厨东坡楼,青龙山路与中原西路交叉口,113.03087,34.744809,0371-53683999,8:00——22：00
巩义市,50100,中餐厅,花雕醉鸡(巩义店),体育馆广陵路桐本路交叉口东20米路北,112.993265,34.751983,15136381293;15137939307,8:00——22：00
巩义市,50100,中餐厅,妙材重庆火锅(宇华名苑1期店),紫金路街道嵩山路113-7房屋2楼3楼,113.019087,34.74678,0371-61077788,8:00——22：00
巩义市,50100,中餐厅,巴庄重庆火锅(巩义二店),陇海路159号龙泉花园F1层,112.993513,34.744696,0371-53651333,8:00——22：00
巩义市,50100,中餐厅,郭大侠食府(天玺店),青龙山路天玺华府东门10号,113.030885,34.746566,18538190879,8:00——22：00
巩义市,50100,中餐厅,叶记烩面(森海星园店),锦里路森海星园楼下,113.016111,34.751642,0371-85610866;13849063822,8:00——22：00
巩义市,50100,中餐厅,虎豹肉合,回郭镇北罗村北罗加油站对面巩义附近美食虎豹肉合回郭镇肉合特色美食巩义名吃订餐电话,112.876223,34.68071,13938274567,8:00——22：00
巩义市,50100,中餐厅,虎丫炒鸡(河南郑州巩义正上豪布斯卡店),滨河路正上豪布斯卡四楼虎丫炒鸡,113.012026,34.754066,19139731206,8:00——22：00
巩义市,50100,中餐厅,康百万饭庄,康百万庄园北门旁,112.950223,34.764158,0371-69582288,8:00——22：00
巩义市,50100,中餐厅,巩义宴天下,文昌路与310国道交叉口南120米,112.886819,34.686317,0371-64223666;0371-64283666,8:00——22：00
巩义市,50100,中餐厅,虎家聚福苑(宇华名苑1期店),紫荆路街道嵩山路与德厚街交汇处西北角,113.019093,34.7465,0371-69592222;15638895861,8:00——22：00
巩义市,50100,中餐厅,延朋小菜馆(锦里路店),锦里路14-8,113.016121,34.752017,0371-66550266;0371-69578008;13937168589,8:00——22：00
巩义市,50100,中餐厅,驴先牲钢厂驴肉火烧(锦里路店),锦里路与瑞福路交叉口西北60米,113.015626,34.752972,15617560377,8:00——22：00
巩义市,50100,中餐厅,费纪军砂锅,平安街与锦里路交叉口西北20米,113.015634,34.75125,13673676926,8:00——22：00
巩义市,50100,中餐厅,黑土风情铁锅炖(石河路店),朗曼·新城海棠新苑西南2门东南160米,112.999681,34.762215,0371-53655656;19339972720,8:00——22：00
巩义市,50100,中餐厅,苏豫坊苏杭土菜(雅宇新天地店),中原西路与嵩山南路交叉口,113.01995,34.74496,15617712789,8:00——22：00
巩义市,50100,中餐厅,大宋美食城,建设路淘宝城(步行街),112.98681,34.755538,13275978903,8:00——22：00
巩义市,50100,中餐厅,五指岭大碗菜,安乐街9-4,112.990969,34.743591,0371-64563288;13213121856,8:00——22：00
巩义市,50100,中餐厅,良友酒家(东区店),嵩山路与永新路交叉口向南20米路西,113.019029,34.749504,0371-85611555;13838023818,8:00——22：00
巩义市,50100,中餐厅,三不炒(巩义豪布斯卡富民路店),富民路2-13,113.014397,34.754181,18624934888,8:00——22：00
巩义市,50100,中餐厅,额尔敦传统涮(巩义店),杜甫路与滨河路交叉路口东北侧(森海玉波苑西区),113.014174,34.740806,0371-66558666,8:00——22：00
巩义市,50100,中餐厅,深夜地带地摊烤肉大王(旗舰店),紫荆路街道锦里路9号附24号,113.015634,34.7527,13303718709,8:00——22：00
巩义市,50100,中餐厅,山城鲜鱼庄,人民东路35号附5号,112.990274,34.749577,0371-64387597,8:00——22：00
巩义市,50100,中餐厅,阿兵火锅(和平东花园店),中原西路与和平路交叉口向东30米路北,112.998952,34.745765,0371-66487519;15837111305,8:00——22：00
巩义市,50100,中餐厅,荷塘鱼庄(明月路),紫荆路街道明月路2号森海玉波苑东区,113.016127,34.740578,0371-69586555,8:00——22：00
巩义市,50100,中餐厅,珍味轩旋转串串香店,巩义市星月商场二楼东门左侧,112.985677,34.754467,15038026700,8:00——22：00
巩义市,50100,中餐厅,阳光渔村,杜甫路宋陵公园南门对面,112.985896,34.738782,18639003933,8:00——22：00
巩义市,50100,中餐厅,潮汕记(正上豪布斯卡店),滨河路27号正上豪布斯卡F4层,113.012955,34.753798,0371-60321816,8:00——22：00
巩义市,50100,中餐厅,一鸣饭庄(沿黄快速通道店),康店镇康百万庄园往南50米路西,112.951906,34.76128,13838565621;18737131951,8:00——22：00
巩义市,50100,中餐厅,老东北烤肉(淘宝城店),建设路西新兴路北海盛花园7栋6号,112.987068,34.756301,13403129098;15515891989;15639098989,8:00——22：00
巩义市,50100,中餐厅,喂庄民族庄园,237国道喂庄村村口,112.989033,34.673564,0371-64100158,8:00——22：00
巩义市,50100,中餐厅,厨匠博炮崩鸡(巩义店),祥瑞街1-19,113.023202,34.764689,18638112188,8:00——22：00
巩义市,50100,中餐厅,醉红楼酒家,家福园南门旁,113.017455,34.75991,0371-69574888,8:00——22：00
巩义市,50100,中餐厅,红星扣碗,和平路杜甫路交叉口向北100米路东,112.999159,34.741431,15638185899,8:00——22：00
巩义市,50100,中餐厅,米村拌饭(巩义豪布斯卡店),滨河路22号正上豪布斯卡购物中心F4层4025(3号4号电梯直达),113.012858,34.753503,16668105621,8:00——22：00
巩义市,50100,中餐厅,飞乐小厨(人民路店),人民路(公安局对面),112.980697,34.750244,0371-69591488;15038154333,8:00——22：00
巩义市,50100,中餐厅,2068香辣虾(新兴路辅路店),新兴路邮政储蓄银行旁边,112.992156,34.755422,0371-69592068;13043016268,8:00——22：00
巩义市,50100,中餐厅,李四辈 饣它汤(巩义店),人民路70-5号附近,112.988776,34.750208,18135778672,8:00——22：00
巩义市,50100,中餐厅,西夏珍品烤羊庄(巩义店),河洛镇神北村(河洛生态园北100米向西10米),113.06062,34.822745,18738119899,8:00——22：00
巩义市,50100,中餐厅,羊肉公烩(滨河花苑店),平安街22-5,113.015325,34.751237,15003820203,8:00——22：00
巩义市,50100,中餐厅,东青饭庄,新中镇新兴路初中十字路口南20米,113.211487,34.686411,13523011349;13653800981,8:00——22：00
巩义市,50100,中餐厅,回郭镇肉盒,人和路11号,112.870758,34.68238,13460364666,8:00——22：00
