区域,餐饮类型编码,餐饮类型名称,POI名称,详细地址,经度(lon),纬度(lat),联系电话,营业时段
登封市,50100,中餐厅,杨掌柜辣椒炒肉(登封颍上店),南一环609号嵩博花园颍上路南,113.023657,34.446393,0371-62722888;15238621640,8：00——22：00
登封市,50100,中餐厅,嵩山不一般水席文化餐厅,颍河路330号,113.018493,34.449754,0371-62788999,8：00——22：00
登封市,50100,中餐厅,聚仙阁庄园,宣化大酒店西南门旁,113.266442,34.351428,15639939108,8：00——22：00
登封市,50100,中餐厅,豫丰汇·河南名菜楼,颍河路西段文化城333号(西北角),113.020474,34.449272,,8：00——22：00
登封市,50100,中餐厅,武记·嵩山民俗菜餐厅,嵩阳办事处守敬路399号,113.052504,34.451895,,8：00——22：00
登封市,50100,中餐厅,鱼你在一起(大禹城店),中岳大街151号大禹城B1层,113.043511,34.456412,13837146078,8：00——22：00
登封市,50100,中餐厅,阿峰家·老长沙下饭菜,石淙路与启秀街交叉口,113.020129,34.445871,,8：00——22：00
登封市,50100,中餐厅,方中山胡辣汤(崇高路店),崇高路192号,113.05053,34.461977,13213027229,8：00——22：00
登封市,50100,中餐厅,黑土风情铁锅炖(阳城路店),嵩阳街道龙玺湾东苑北1-101,113.054477,34.443582,0371-62825188;0371-62825888;16638180388,8：00——22：00
登封市,50100,中餐厅,湘遇小锅米饭(登封店),锦绣华庭东北门旁,113.022653,34.44679,0371-62828999,8：00——22：00
登封市,50100,中餐厅,红色年代·得劲湘菜(武记餐饮),菜园路与石淙路交叉口东北角,113.04105,34.442063,,8：00——22：00
登封市,50100,中餐厅,登封清林羊肉馆总店,大禹路与少室路交叉口东南角889号,113.028696,34.468733,15093218787,8：00——22：00
登封市,50100,中餐厅,和顺楼,嵩阳街道书院河路北段,113.038702,34.470185,0371-62705678,8：00——22：00
登封市,50100,中餐厅,荟南湘(登封店),嵩阳街道滨河路与大禹路交叉口向北100米河西,113.039136,34.469271,0371-62983555;16691624777,8：00——22：00
登封市,50100,中餐厅,幸福里四方菜,阳光美景西门南80米,113.041058,34.442375,0371-62798886;15738813567,8：00——22：00
登封市,50100,中餐厅,少林欢喜地素斋馆,少林景区少林寺山门旁边,112.942133,34.505707,0371-62748718,8：00——22：00
登封市,50100,中餐厅,登封第一汤,城东家属院西2门旁,113.053193,34.454974,13653810371,8：00——22：00
