区域,餐饮类型编码,餐饮类型名称,POI名称,详细地址,经度(lon),纬度(lat),联系电话,营业时段
管城回族区,50100,中餐厅,裕丰源豫食雅宴,心怡路278号3层301,113.773269,34.750441,0371-88885958;0371-88885968,8：00——22：00
管城回族区,50100,中餐厅,老罗家·非遗砂锅大鱼头(老罗家·经南三路店),经南三路与第二大街交叉口向东50米,113.74417,34.71615,0371-69150666,8：00——22：00
管城回族区,50100,中餐厅,特味村•家之宴,中州大道南段与南三环交叉口,113.704944,34.705234,15838333005,8：00——22：00
管城回族区,50100,中餐厅,阿庄新豫菜(航海东路店),经开区航海东路与八大街交汇处富田财富广场1号楼2层,113.763954,34.721426,0371-55016888;18903715385,8：00——22：00
管城回族区,50100,中餐厅,满天星肉丝带底(康宁街店),七里河南路与康宁街交叉口,113.750324,34.752879,0371-61007222,8：00——22：00
管城回族区,50100,中餐厅,湘遇湘知·湖南菜(康平路店),商都路办事处康平路38号5号楼东1单元1-4层附10-1号,113.761978,34.753007,0371-55951727,8：00——22：00
管城回族区,50100,中餐厅,城墙根戏缘老茶馆·新豫菜(天筑店),东风南路与康宁街交叉路口向西200米建业天筑15号楼6号,113.763913,34.751557,0371-55081122,8：00——22：00
管城回族区,50100,中餐厅,豫晟季,河南自贸试验区郑州片区(郑东)商鼎路112号华润新时代广场4号,113.790488,34.755447,0371-63678888;0371-63817777;18838139969,8：00——22：00
管城回族区,50100,中餐厅,解家河南菜(商鼎路店),商鼎路与七里河路交叉口东南角,113.753247,34.754699,0371-67515000,8：00——22：00
管城回族区,50100,中餐厅,半闲斋羊肉铺(顺城街店),商城路北顺城街交叉口向南200米路西,113.671675,34.753525,0371-55697555,8：00——22：00
管城回族区,50100,中餐厅,湘遇湘知·江浙菜(海赋国际店),福禄路98号海赋国际F2层,113.775307,34.749144,0371-65175555;0371-66399998,8：00——22：00
管城回族区,50100,中餐厅,张老炝方城炝锅烩面(升龙广场店),东风南路与东站南街交汇处路南升龙广场1楼,113.770626,34.757441,0371-60986626;19913886883,8：00——22：00
管城回族区,50100,中餐厅,天堂鸟水煮鱼·烟火川菜(凤凰路店),城东路43号(郑州文庙地铁站D口步行460米),113.691678,34.743555,0371-66355834,8：00——22：00
管城回族区,50100,中餐厅,解家河南菜恒泰店(恒泰国际店),郑汴路60号恒泰国际,113.699908,34.747143,0371-67546000,8：00——22：00
管城回族区,50100,中餐厅,葭荷.粗粮小厨(农业南路店),农业南路与福禄街交叉口,113.756154,34.74911,18595841777,8：00——22：00
管城回族区,50100,中餐厅,东府饭店(高铁东站店),商鼎路与心怡路交叉口东南角永和宇宙星一楼北门,113.774968,34.754206,0371-55556818;0371-55558198,8：00——22：00
管城回族区,50100,中餐厅,黑土风情铁锅炖(城东路135号院店),城东路135号院287号(天伦医院北),113.691061,34.750208,0371-55553879;19139963579,8：00——22：00
管城回族区,50100,中餐厅,鹅娘地锅(经开区店),经北三路与第四大街交叉口,113.749799,34.728174,15617939858,8：00——22：00
管城回族区,50100,中餐厅,旬羊砂锅涮羊肉(滨河新城店),金祥路与明理南路康桥悦城1号院1层商户,113.801567,34.690177,0371-55683333;19059977177,8：00——22：00
管城回族区,50100,中餐厅,胡庆一重庆火锅(富田太阳城店),明月路64号,113.716146,34.724869,0371-55888552,8：00——22：00
管城回族区,50100,中餐厅,稻咱家(管城区紫辰路店),紫东路121-4号,113.693159,34.707976,0371-55156399;18039286282,8：00——22：00
管城回族区,50100,中餐厅,杨记小炒老店,清真寺街3号院东门南60米,113.678341,34.752108,13938562622,8：00——22：00
管城回族区,50100,中餐厅,百草滩羊泉水涮羊肉(农业南路店),农业南路榆林南路1-66,113.75778,34.753129,0371-66505666;19036950657,8：00——22：00
管城回族区,50100,中餐厅,枫厨南湾鱼信阳菜(航海路店),航海东路第六大街东南角八马茶业上二楼,113.757759,34.720744,0371-63271177,8：00——22：00
管城回族区,50100,中餐厅,阿平小馆(郑州东站东广场店),新发展楷林广场10号楼1楼,113.787062,34.754045,17760773786,8：00——22：00
管城回族区,50100,中餐厅,甄玉川宴会中心,城东路与郑汴路交叉口北100米,113.691761,34.74776,0371-66086688;13083669002;13283889635,8：00——22：00
管城回族区,50100,中餐厅,解家河南菜(商都路店),万科福晟万科誉西门北60米,113.770574,34.744168,0371-67538000,8：00——22：00
管城回族区,50100,中餐厅,萧记三鲜烩面(商城路店),商城路231-10号,113.672503,34.754583,0371-66215554,8：00——22：00
管城回族区,50100,中餐厅,清真·静水瓦屋茶餐厅(商鼎路店),农业南路商鼎路西南角停车场,113.756604,34.754442,15939014244,8：00——22：00
管城回族区,50100,中餐厅,阿嫲·粗粮人家(紫东路豫英路店),紫东路127号正商华祥国际大厦1号楼,113.696796,34.707477,13183005908,8：00——22：00
管城回族区,50100,中餐厅,知青老食堂(南关街店),陇海东路301号,113.675539,34.739314,15838242855,8：00——22：00
管城回族区,50100,中餐厅,胡庆一重庆火锅(农业南路店),农业南路与万通街交叉口向南一百米路东,113.756595,34.742818,0371-69365918;18103843235,8：00——22：00
管城回族区,50100,中餐厅,烙馍小院(商城路店),商城东路与玉凤路交叉口西220米,113.708602,34.752044,0371-55622132,8：00——22：00
管城回族区,50100,中餐厅,西子家宴高级餐厅,心怡路与榆林南路交叉口西南角海汇港二期1号楼2层2-号,113.773445,34.752898,0371-55911199;19339595599,8：00——22：00
管城回族区,50100,中餐厅,吾浮四海Bistro·贵州创意菜(路劲·东方陆港店),商鼎路56-2号,113.758641,34.756114,13100155598;17335726999,8：00——22：00
管城回族区,50100,中餐厅,荆九爷桥头三嫩(升龙广场店),郑州东站升龙广场3号楼B座北侧107商铺,113.770496,34.756524,13073700979,8：00——22：00
管城回族区,50100,中餐厅,同胜祥(航海路店),十八里河镇航海路与中州大道交叉口美林河畔3号,113.716626,34.720399,0371-63595588;0371-63595599,8：00——22：00
管城回族区,50100,中餐厅,咨言乳鸽烩面(清真)(心怡路店),管城回族区郑州东商鼎路与心怡路交叉口向南150米路西,113.773429,34.753363,0371-55685177,8：00——22：00
管城回族区,50100,中餐厅,合记烩面(南大街店),南大街88号院-1号,113.676309,34.748067,0371-66228027,8：00——22：00
管城回族区,50100,中餐厅,乡村大盘鸡(商城路总店),商城东路151号,113.702334,34.750827,0371-88885615,8：00——22：00
管城回族区,50100,中餐厅,川渝一家亲豆花饭川菜馆(郑东商业中心店),农业南路与万通街交叉口东北角,113.75659,34.744089,18595524677,8：00——22：00
管城回族区,50100,中餐厅,粗粮小厨(总店),城东南路42号(二里岗东地铁站C口步行210米),113.690758,34.726864,0371-69162131,8：00——22：00
管城回族区,50100,中餐厅,汕之味潮州菜(富田店),明月路72-2号,113.717629,34.724642,13700883776;15678733779,8：00——22：00
管城回族区,50100,中餐厅,味派菜园子原味湘菜(郑东新区店),榆林北路6号,113.759346,34.756286,0371-55028287;19036938638,8：00——22：00
管城回族区,50100,中餐厅,首艺名厨小馆,中州大道1899号60号楼1-2层122号门面房,113.711709,34.710069,17737159768,8：00——22：00
管城回族区,50100,中餐厅,杨掌柜辣椒炒肉(升龙广场店),升龙广场3号楼负一楼,113.770886,34.756312,0371-53388995;19337151669,8：00——22：00
管城回族区,50100,中餐厅,东府饭店(郑州经开区思想台汉服酒店店),经开第五大街与经南二路交叉口向东10米路南,113.756193,34.717455,0371-55050004;0371-55051114;0371-66787010,8：00——22：00
管城回族区,50100,中餐厅,阿勇渔歌(国安大厦B座店),郑州经济技术开发区航海东路与第五大街国安大厦B座2层,113.756045,34.721291,0371-60609666;0371-60609777,8：00——22：00
管城回族区,50100,中餐厅,土房子怪味鱼(商城路店),商城路8号附18号,113.707893,34.751941,0371-65369339,8：00——22：00
管城回族区,50100,中餐厅,宴天下·新豫菜(榆林北路店),榆林北路运动场东路龙宇国际5层,113.767498,34.75616,19103717852;19137154673,8：00——22：00
管城回族区,50100,中餐厅,龙门巷火锅(商城路店),商城东路,113.707542,34.751879,0371-66310649;18569979755,8：00——22：00
管城回族区,50100,中餐厅,蓉姐好川菜(康平苑店),康平苑东南2门旁,113.762055,34.758607,17698603777,8：00——22：00
管城回族区,50100,中餐厅,渔常来·新派淮扬菜,经南八路腾达路交叉口下祥和居2号院11栋,113.787283,34.693354,19396455777,8：00——22：00
管城回族区,50100,中餐厅,小食候湘(郑州经开店),管城回族区经开区航海东路与第八大街交叉口宏光合园11号楼113号,113.762514,34.720402,0371-58618266;18937622028,8：00——22：00
管城回族区,50100,中餐厅,豫秀鸽厨(美景天城店),航海东路街道石化路69号美景天城,113.719887,34.726556,0371-69755555,8：00——22：00
管城回族区,50100,中餐厅,徽州小镇(海汇港店),心怡路与榆林南路交叉口西南角海汇港1号楼3层,113.773405,34.75288,0371-60985181;0371-60986181,8：00——22：00
管城回族区,50100,中餐厅,黑土风情铁锅炖(富田太阳城店),东方国际商务中心北50米,113.716525,34.725016,0371-65019888,8：00——22：00
管城回族区,50100,中餐厅,刘东家老碗(紫荆店),紫荆山南路街道新郑路3号工商银行旁,113.681912,34.724167,0371-53396973;0371-86113166,8：00——22：00
管城回族区,50100,中餐厅,鲜与铜.京味涮肉(路路通万喜名家店),二里岗街道陇海东路4号路路通万喜名家,113.703595,34.740317,0371-58618588;17737786899,8：00——22：00
管城回族区,50100,中餐厅,廣順興(康宁街店),东方鼎盛时代三期西南1门东80米,113.760284,34.751746,15238362583,8：00——22：00
管城回族区,50100,中餐厅,阿润传统打边炉(郑东商业中心C区2栋店),商都路办事处康平路郑东商业中心c区2栋1层,113.762347,34.742217,18939510451,8：00——22：00
管城回族区,50100,中餐厅,齐齐哈尔家庭烤肉(郑州旗舰店),管城回族区郑东新区农业南路与万通街交叉口(商都新城)小区临街商业房12-13号,113.756609,34.744067,18538264888,8：00——22：00
管城回族区,50100,中餐厅,山婉婉·云南酸菜牛肉火锅(郑州首店),商鼎路77号汇艺银河里F2层,113.770353,34.754372,0371-58586652,8：00——22：00
管城回族区,50100,中餐厅,京小凤鲜炒大盘鸡(郑东商业中心店),康平路万通街交叉口西100米路南,113.759402,34.743507,13523010015;17703839658,8：00——22：00
