区域,餐饮类型编码,餐饮类型名称,POI名称,详细地址,经度(lon),纬度(lat),联系电话,营业时段
荥阳市,50100,中餐厅,伊海斋西安牛羊泡馍,新田大道马沟转盘东100米路东,113.505832,34.715448,13903867333;13937177666,8：00——22：00
荥阳市,50100,中餐厅,炊烟·羊肉铺,国泰路与福民路交叉口西北角,113.426663,34.78478,0371-85220808;13213190808,8：00——22：00
荥阳市,50100,中餐厅,小秦川,索河路与福民路交叉口西南角020号,113.426389,34.786657,0371-85290808,8：00——22：00
荥阳市,50100,中餐厅,兰湘子.湘菜小炒(郑州荥阳吾悦广场店),郑上路荥泽大道吾悦广场3楼,113.4282,34.774069,17337119530;18503863632,8：00——22：00
荥阳市,50100,中餐厅,锦珍锦顺德开煲(荥阳店),中森·玖巷,113.420751,34.787728,0371-68939766,8：00——22：00
荥阳市,50100,中餐厅,杨掌柜辣椒炒肉(荥泽大道店),豫龙镇郑上路与荥泽大道北200米路东悦蓝山,113.430248,34.776039,19903977558,8：00——22：00
荥阳市,50100,中餐厅,厨道新豫菜,豫龙镇禹锡南一路二十里铺社区楼下,113.442245,34.764512,0371-63253666;18737179582,8：00——22：00
荥阳市,50100,中餐厅,食欲老院子荆芥疙瘩汤(吾悦广场店),荥泽大道161号吾悦广场4楼,113.428225,34.774625,0371-55980065,8：00——22：00
荥阳市,50100,中餐厅,小秦川西北菜(索河湾店),汜河路光明索河湾-1期,113.381366,34.795116,0371-61090808;13253586375,8：00——22：00
荥阳市,50100,中餐厅,味道名家(荥阳市支行中国银行店),索河路与广武路交叉口东北60米,113.400811,34.787817,0371-64635555;15237162555,8：00——22：00
荥阳市,50100,中餐厅,半天妖烤鱼(首创奥特莱斯店),首创奥特莱斯F-A21、A22店铺,113.501903,34.675115,0371-65003799;13503996520,8：00——22：00
荥阳市,50100,中餐厅,阿德印象重庆火锅(索河湾店),站南路与成皋路交叉口西南侧农房索河湾商8号楼1-2层,113.38111,34.795214,0371-87010808;17320161009,8：00——22：00
荥阳市,50100,中餐厅,柳州肥姨妈大骨螺蛳粉(京城大街店),京城街道京城大街西段路北164、166号商铺,113.412629,34.784735,18295916150,8：00——22：00
荥阳市,50100,中餐厅,小小河边鱼(荥阳店),海龙商业街008号商铺,113.426758,34.785372,18638936788,8：00——22：00
荥阳市,50100,中餐厅,虎丫炒鸡(河南郑州荥阳吾悦广场店),郑上路与荥泽大道交叉口西北角(吾悦广场三层3010号),113.429503,34.771862,13233913170,8：00——22：00
荥阳市,50100,中餐厅,黑土风情铁锅炖(郑上路店),郑上路与京城路交口宗大广场,113.408696,34.775891,15945514333,8：00——22：00
荥阳市,50100,中餐厅,半天妖烤鱼(郑州荥阳吾悦广场店),吾悦广场3楼3036号,113.428225,34.773975,13333811550,8：00——22：00
荥阳市,50100,中餐厅,老东北烤肉(荥阳店),海龙香槟大道商业街28号商铺,113.42701,34.786324,15638595871,8：00——22：00
荥阳市,50100,中餐厅,丹江鱼宴,高村乡李山村111号,113.362321,34.870542,15516931865,8：00——22：00
荥阳市,50100,中餐厅,采莲轩餐厅,广武镇大胡村江南春温泉酒店,113.491125,34.912854,0371-85218770,8：00——22：00
荥阳市,50100,中餐厅,荥阳市那些年妈妈菜,广武路东30米,113.40048,34.772679,0371-60188880;19903822751,8：00——22：00
荥阳市,50100,中餐厅,李山村胖嫂丹江渔庄,李山村美食文化街2号店,113.362378,34.870544,13838515341;15503718417,8：00——22：00
荥阳市,50100,中餐厅,徐家味道,豫龙镇荥泽大道与泽众路交叉口向西300米路南,113.423772,34.753576,18638138881,8：00——22：00
荥阳市,50100,中餐厅,周麻婆·川式小炒(荥阳吾悦广场店),吾悦广场(郑州荥阳店),113.428158,34.774256,13303959678,8：00——22：00
荥阳市,50100,中餐厅,丹江鱼多多,李山村美食文化街4号,113.362714,34.87036,13140027414,8：00——22：00
荥阳市,50100,中餐厅,额娘春饼·烤鸭(荥阳吾悦广场店),吾悦广场三楼,113.428347,34.773935,0371-64980588;13140002585,8：00——22：00
荥阳市,50100,中餐厅,丹江福味楼,竹园村222号,113.293916,34.882526,15138997916,8：00——22：00
荥阳市,50100,中餐厅,宴和饺子东北菜,中原西路与织机路交叉口向南500米路东九小临街门面八号,113.440754,34.746458,13938450385;18037338592,8：00——22：00
荥阳市,50100,中餐厅,廣順興(荥阳店),索河路东段北侧(新区名苑1号楼)101号,113.417057,34.787575,0371-55193888,8：00——22：00
荥阳市,50100,中餐厅,我的小板凳街坊火锅(康泰路店),河南新华电脑学院西校区北门旁,113.407831,34.782481,13623819153,8：00——22：00
荥阳市,50100,中餐厅,鱼你在一起(荥阳吾悦广场店),荥泽大道与郑上路交叉口西北角(吾悦广场三楼3015号),113.42814,34.774483,13613828328,8：00——22：00
荥阳市,50100,中餐厅,鸿源斋食府(荥阳店),兴华路与310国道交叉口向西50米路南,113.374613,34.765609,0371-55551066;19337161216,8：00——22：00
荥阳市,50100,中餐厅,四海一味(荥阳店),工业路北段路西,113.405047,34.788869,0371-85229555;0371-85229666;13140019095;13223096212,8：00——22：00
荥阳市,50100,中餐厅,顺利饭店,汜水镇汜水街,113.215567,34.844952,13783518087,8：00——22：00
荥阳市,50100,中餐厅,黑土风情铁锅炖(福民路),索河路0174号,113.426691,34.789249,0371-63635999;0371-64799555,8：00——22：00
荥阳市,50100,中餐厅,桥头饭店(北大路店),贾峪镇北大路新田路东200米路北,113.484024,34.680252,15237183610,8：00——22：00
荥阳市,50100,中餐厅,志成丹江渔家,高村乡李山村045号,113.362066,34.87088,0371-57163563;18237163211;18300678161,8：00——22：00
荥阳市,50100,中餐厅,胖姐扣碗,中原西路与棋源路交叉口西南400米,113.415897,34.748391,13783409546,8：00——22：00
荥阳市,50100,中餐厅,黄河滩地锅城(织机路店),织机路与泽众路交叉口西北角,113.440384,34.753334,15938763413,8：00——22：00
荥阳市,50100,中餐厅,木棉花融合菜(吾悦广场店),吾悦广场4楼4035木棉花融合菜,113.428398,34.774092,0371-67552999,8：00——22：00
荥阳市,50100,中餐厅,盛祥海韵火锅鱼(冯寨社区店),冯寨社区西门南60米,113.424731,34.788054,0371-66122166,8：00——22：00
荥阳市,50100,中餐厅,無间老友记传统打边炉(荥阳店),三公路与索河路交叉口向北100米路西,113.415339,34.78834,0371-85091122,8：00——22：00
荥阳市,50100,中餐厅,金鱼草融合餐厅(光明荟店),汜河路成皋路西100米路南,113.380025,34.794675,0371-69137666;15617692000,8：00——22：00
荥阳市,50100,中餐厅,朱熙熙三不炒(荥阳海龙华城店),惠民路海龙华城东门北20米,113.421899,34.78598,19337190381,8：00——22：00
荥阳市,50100,中餐厅,阿利茄汁面(奥莱店),贾峪镇首创奥特莱斯3楼F3B05,113.500915,34.676084,18300695636,8：00——22：00
荥阳市,50100,中餐厅,齐祺渔锅(荥阳店),京城路街道三公路7号新区名苑,113.416034,34.789852,0371-64716888;17814690394,8：00——22：00
荥阳市,50100,中餐厅,丹江全鱼宴,城关乡上集社区09号,113.419085,34.819564,18339911015,8：00——22：00
荥阳市,50100,中餐厅,悦来喜酒店京城路店,汜河路与京城路交叉口向北200米,113.411534,34.794851,15237162555,8：00——22：00
