区县,店铺名称,GCJ02_经度,GCJ02_纬度,WGS84_经度,WGS84_纬度,地址,联系电话,评分,人均消费（元）,商圈,营业时间
中原区,鼠小姐的店,113.532726,34.824887,113.532726,34.824887,科学大道100号郑州大学新校区松园19号楼北侧,13525510115,4.1,14,科学大道,8：00——22：00
中原区,春燕素食汇(万福花园店),113.609757,34.723052,113.609757,34.723052,汝河路街道桐柏南路95号万福花园,暂无,4.1,15,暂无,8：00——22：00
中原区,围炉铜瓢牛肉(桐柏路店),113.613916,34.74331,113.613916,34.74331,桐柏南路与伊河路交叉口东北80米,0371-67915588;0371-67915599,4.6,95,暂无,8：00——22：00
中原区,豆小二粉浆面条(洼刘新城A区店),113.549239,34.805269,113.549239,34.805269,玉兰街78号洼刘新城A区1栋2-14,17698005203;18236969603;19949199047,4.2,12,科学大道,8：00——22：00
中原区,开封又一楼灌汤包子(湖光新苑店),113.577453,34.748879,113.577453,34.748879,三官庙街道中原西路139号湖光新苑,13014507814;13733851881,4.4,暂无,暂无,8：00——22：00
中原区,麦香斋糕点坊(乳制品厂家属院店),113.616384,34.770126,113.616384,34.770126,桐柏路街道桐柏北路114号乳制品厂家属院,13939015599,4.4,20,暂无,8：00——22：00
中原区,阿科广州小屋,113.62155,34.736046,113.62155,34.736046,陇海西路370号(工人路陇海路向东30米路南),0371-63386138,4.2,暂无,暂无,8：00——22：00
中原区,李同学烤冷面(万和城店),113.539837,34.831611,113.539837,34.831611,谦祥万和城c区北门东第7间门面,13215995373;18638204997,4,4,暂无,8：00——22：00
中原区,嵩山饭店,113.623346,34.741634,113.623346,34.741634,伊河路156号,0371-67176688;0371-67176699;0371-67178888,4.6,暂无,暂无,8：00——22：00
中原区,光华大酒店,113.567452,34.798249,113.567452,34.798249,梧桐办事处瑞达路68号,0371-67992888;0371-67995607,4.7,暂无,瑞达路沿线,8：00——22：00
中原区,北右六小龙虾(锦艺国际华都·美域店),113.610527,34.76262,113.610527,34.76262,棉纺西路锦艺国际美域6-07,15303820828;15324723676;15938745033,4.5,80,棉纺路,8：00——22：00
中原区,裕源斋,113.557709,34.825283,113.557709,34.825283,中原区高新区雪松路莲花街11号3单元49商铺,15515668176;18848836348,4.5,26,科学大道,8：00——22：00
中原区,南泥湾(秦岭路店),113.603008,34.739436,113.603008,34.739436,秦岭路与颖河路交叉口西南角202号,0371-86238000,4.7,101,暂无,8：00——22：00
中原区,老洛阳刘记羊肉鲜汤(升龙又一城店),113.545765,34.805167,113.545765,34.805167,春藤路与玉兰街交叉口西北角30米,15093850208;18937172640,4.3,20,科学大道,8：00——22：00
中原区,黑豹海鲜老西北烤全羊,113.607051,34.741847,113.607051,34.741847,绿东村街道伏牛路与伊河路交叉口向南50米路东,13783557943;15515806354,4.4,50,暂无,8：00——22：00
中原区,王婆大虾(中原万达店),113.600253,34.745905,113.600253,34.745905,中原中路171号9号商业用房1-2层139号,暂无,4.4,52,暂无,8：00——22：00
中原区,老北京旋转小火锅(电厂路),113.603824,34.792526,113.603824,34.792526,暂无,13523091151;17760755826,4.3,19,暂无,8：00——22：00
中原区,云端静舍茶餐厅,113.599705,34.796557,113.599705,34.796557,西三环国家大学科技园9号楼2楼,0371-86688855;15503718648,4.5,100,暂无,8：00——22：00
中原区,花之轩酒楼,113.613228,34.744126,113.613228,34.744126,桐柏南路与洛河路交汇处南50米路西,暂无,4.6,暂无,暂无,8：00——22：00
中原区,李家味道三环烩羊肉,113.587824,34.73675,113.587824,34.73675,航海西路街道陇海路与西三环交叉路口,13526617886;15036197228,4.4,16,暂无,8：00——22：00
中原区,一手好账,113.575134,34.807124,113.575134,34.807124,中原区高新区科学大道53号中原广告产业园2号楼13层228室,19903717670,4.7,暂无,瑞达路沿线,8：00——22：00
中原区,老庄拉面馆,113.525085,34.773823,113.525085,34.773823,通达路与须水河东路交叉口向东第一家,暂无,4.4,16,暂无,8：00——22：00
中原区,老三自助烤肉(颍河路店),113.618472,34.74017,113.618472,34.74017,颍河路110号郑州水利大厦郑州市水务局旁老三烧烤,13271568959,4.5,74,暂无,8：00——22：00
中原区,黄氏秘制地锅柴鸡(公园茂总店),113.556433,34.82234,113.556433,34.82234,金菊街16-3号,13673861688;13949968383;15303811202,4.3,60,科学大道,8：00——22：00
中原区,一厂郭三羊杂汤老店,113.611063,34.7608,113.611063,34.7608,六厂东街22号(一厂北门),13674912920;15093165313;15515663420,4.4,15,棉纺路,8：00——22：00
中原区,眼镜甘蔗汁,113.620666,34.751773,113.620666,34.751773,友爱路工人路交叉口西南50米,18530968280,4.3,9,建设路,8：00——22：00
