区域,餐饮类型编码,餐饮类型名称,POI名称,详细地址,经度(lon),纬度(lat),联系电话,营业时段
中原区,50100,中餐厅,阿五黄河大鲤鱼(郑州陇海西路店),陇海西路306-34号,113.597099,34.735589,0371-68630555,8：00——22：00
中原区,50100,中餐厅,须水邓记叫化鸡(须水总店),西四环与建设西路交叉口向北300米路东邓记叫化鸡总店,113.530269,34.766001,0371-67810996;0371-67810998,8：00——22：00
中原区,50100,中餐厅,粗粮厨掌柜(瑞达路店),瑞达路玉兰街交叉口向北20米路东,113.568591,34.805573,0371-58627788;13673711618,8：00——22：00
中原区,50100,中餐厅,裕丰源(桐柏路店),桐柏路与伊河路交叉口西北角路西,113.613315,34.742935,0371-67636670;0371-67665018,8：00——22：00
中原区,50100,中餐厅,豫锦生态园,陇海西路新田大道交叉口向西800米路南,113.494114,34.723624,0371-55251111;0371-86019999,8：00——22：00
中原区,50100,中餐厅,解家河南菜(碧沙岗店),百花路建设路交叉口向南100路东,113.624848,34.753544,0371-67717000,8：00——22：00
中原区,50100,中餐厅,鲍三羊肉炝锅面·烧烤,伊河路38-3号,113.6196,34.742811,16603875333,8：00——22：00
中原区,50100,中餐厅,南泥湾(秦岭路店),秦岭路与颖河路交叉口西南角202号,113.603008,34.739436,0371-86238000,8：00——22：00
中原区,50100,中餐厅,葛记焖饼(伏牛路总店),建设西路100号院(路东),113.607091,34.754758,0371-67869797;18838066932,8：00——22：00
中原区,50100,中餐厅,裕丰源·西美雅宴,长椿路5号西美大厦1楼至3楼,113.540403,34.785182,0371-55697333;0371-60909666,8：00——22：00
中原区,50100,中餐厅,蒙巴图草原涮肉,科学大道保利文化广场7号楼1号商铺,113.55828,34.807967,0371-55551955;16692185999,8：00——22：00
中原区,50100,中餐厅,解家河南菜(陇海路店),陇海路与伏牛路交叉口向东20米路南,113.607671,34.736126,0371-67667711,8：00——22：00
中原区,50100,中餐厅,鹿鸣记,农业路与桐柏路交叉口东南角,113.618787,34.774203,0371-69065555,8：00——22：00
中原区,50100,中餐厅,胡庆一重庆火锅(高新店),枫杨街道白桦街75号东史马小区南区,113.557721,34.829275,0371-55685191,8：00——22：00
中原区,50100,中餐厅,西郊竹园甲鱼面(老一中店),桐柏路219号院东门北60米,113.613393,34.74193,0371-67521111,8：00——22：00
中原区,50100,中餐厅,张福记(五一公园店),市场街1号(五一公园·市中医院地铁站C口步行300米),113.616546,34.754201,0371-67777665;0371-67777666,8：00——22：00
