区域,餐饮类型编码,餐饮类型名称,POI名称,详细地址,经度(lon),纬度(lat),联系电话,营业时段
二七区,50100,中餐厅,农夫刘先生(丹青路店),丹青路22号,113.617839,34.706857,15639768111,8：00——22：00
二七区,50100,中餐厅,张福记(航海店),航海中路96-5号,113.635119,34.720683,0371-63588777;0371-69356777,8：00——22：00
二七区,50100,中餐厅,小V家火锅鸡(郑州总店),芙蓉花苑东门旁,113.650277,34.707043,15981868586,8：00——22：00
二七区,50100,中餐厅,粗粮厨掌柜(碧云路店),航海路27号鹏程花园7号楼4单元1层,113.665421,34.719849,0371-69767888;18538920815,8：00——22：00
二七区,50100,中餐厅,灶座小锅烀饼(郑州首店),嵩山南路249-19,113.628396,34.713601,19034166611,8：00——22：00
二七区,50100,中餐厅,黑土风情铁锅炖(大学路店),人和路街道建云路76号芙蓉花苑三期A区3号楼14-16,113.645773,34.706556,0371-58581611;0371-68816888,8：00——22：00
二七区,50100,中餐厅,米村拌饭(郑州万象城店),"民主路10号郑州华润万象城六楼米村拌饭L601d商铺,彼酷哩烤鱼隔壁",113.661038,34.755375,15093312251,8：00——22：00
二七区,50100,中餐厅,张福记(交通路店),交通路150-16号,113.646952,34.731245,0371-68727788;0371-68729955,8：00——22：00
二七区,50100,中餐厅,小丫涮老北京涮锅,碧云路赣江路交叉口西南角中陆茶都AY060001号,113.664897,34.70355,0371-58585688,8：00——22：00
二七区,50100,中餐厅,村菇小厨,苗圃街29号,113.664251,34.735489,18037376228,8：00——22：00
二七区,50100,中餐厅,苏园·禧宴(交通路店),大学路街道陇海路与交通路交叉口向北50路东,113.647403,34.737583,0371-66116688,8：00——22：00
二七区,50100,中餐厅,阿嫲·粗粮人家(嵩山南路金沙江路店),嵩山南路与金沙江路向东50米路北,113.630078,34.685806,18638004977,8：00——22：00
二七区,50100,中餐厅,清真·罗有财酥不腻烤鸭(陇海中路店),陇海中路与勤劳街交叉口56号,113.640583,34.736902,0371-61370888;0371-61370999,8：00——22：00
二七区,50100,中餐厅,张福记(陇海店),陇海中路59号(近骨科医院),113.63527,34.736626,0371-67950159;0371-67950169,8：00——22：00
二七区,50100,中餐厅,俏渔湾·信阳名菜楼,长江中路105号玫瑰花园1与2号楼中间,113.639829,34.709571,0371-86601002;18039299627,8：00——22：00
二七区,50100,中餐厅,王繁星面馆(二七店),大学南路8号郑州二七万达广场商场内三楼繁星面馆,113.642895,34.717404,18638708408,8：00——22：00
二七区,50100,中餐厅,淼庄地锅鸡(郑航街店),郑航街19号,113.649973,34.705816,0371-60166333,8：00——22：00
二七区,50100,中餐厅,老蔡记(二七广场店),德化美食街与彩虹路路口(德化街2号楼4号),113.66768,34.751026,0371-66950885;15516927881,8：00——22：00
二七区,50100,中餐厅,松针蔡记蒸饺(兴华街店),兴华南街15-4号,113.632957,34.732118,13938541629,8：00——22：00
