区域,餐饮类型编码,餐饮类型名称,POI名称,详细地址,经度(lon),纬度(lat),联系电话,营业时段
惠济区,50100,中餐厅,鸿源斋食府(惠济旗舰店),新城街道金河路122-3正西方向130米毛庄小区二号院,113.629631,34.865377,0371-55551022,8：00——22：00
惠济区,50100,中餐厅,仲和小馆(长兴路店),长兴大厦西北门旁(王砦地铁站A口步行190米),113.625676,34.818571,0371-88959158;13333818993,8：00——22：00
惠济区,50100,中餐厅,仲和晓院(英才街店),花园路与英才街向西300米路北,113.676455,34.860438,19003831588,8：00——22：00
惠济区,50100,中餐厅,额尔敦传统涮(艺茂国际仓店),天元路清华园路交叉路口西南角,113.61981,34.860337,0371-89819488,8：00——22：00
惠济区,50100,中餐厅,谷雨春红烧黄河大鲤鱼(迎宾路店),迎宾路街道迎宾路10号五期12栋,113.663016,34.871563,0371-63755599,8：00——22：00
惠济区,50100,中餐厅,宴秋杭州菜(月湖店),万达后面碧源月湖会馆4层,113.635429,34.871433,0371-66832222,8：00——22：00
惠济区,50100,中餐厅,大塘餐厅(迎宾路店),迎宾路大河龙城商业街4号,113.665047,34.871556,0371-65569919;19138126518,8：00——22：00
惠济区,50100,中餐厅,鹅娘锦塘地锅(惠济区店),江山路街道英才街重久路向南五十米路西,113.6154,34.853449,15638826670,8：00——22：00
惠济区,50100,中餐厅,老罗家·非遗砂锅大鱼头(省体育中心店),金蓝湾东南门北120米,113.630757,34.825166,15136258429;18937673129,8：00——22：00
惠济区,50100,中餐厅,肘子刘(开元路店),银通路与开元路交叉口西北,113.669862,34.867178,0371-63562111;0371-63762777,8：00——22：00
惠济区,50100,中餐厅,椒馋小馆(绿源路店),惠源商务B座,113.569906,34.88838,0371-56602150;18695908288,8：00——22：00
惠济区,50100,中餐厅,宴秋(花园北路店),花园北路与金达路交叉口西南角惠达金苑1号楼,113.678236,34.862244,0371-65989999,8：00——22：00
惠济区,50100,中餐厅,兰湘子.湘菜小炒(郑州惠济万达广场店),开元路68号惠济万达5楼,113.635798,34.868718,0371-60972879;19939941770,8：00——22：00
惠济区,50100,中餐厅,煌粮小灶精致·家常菜,文化北路300号(黄河迎宾馆地铁站H口步行490米),113.640925,34.870444,0371-55955998;17398986199,8：00——22：00
惠济区,50100,中餐厅,米喜鱼·烤活鱼(惠济万达店),开元路68号万达广场(郑州惠济店)5F层5016、5017,113.63687,34.868909,15617937992,8：00——22：00
惠济区,50100,中餐厅,须水邓记叫化鸡(长兴路店),长兴路街道宏达街6号宏达小区,113.626328,34.823541,0371-88888979;13783499845,8：00——22：00
惠济区,50100,中餐厅,四囍·冰城小馆东北锅包肉,弓庄新城二号院一号楼36-2号商铺,113.681163,34.868669,0371-55658115;17320125500,8：00——22：00
惠济区,50100,中餐厅,锦珍锦顺德开煲(南阳路店),建业壹号城邦154号附1-2层101,113.629149,34.806104,0371-63756918;0371-63756928;13838163001,8：00——22：00
惠济区,50100,中餐厅,虎丫炒鸡(河南郑州惠济万达店),开元路惠济万达广场5楼5013号商铺,113.636345,34.868896,19339980371,8：00——22：00
惠济区,50100,中餐厅,融合餐厅(怡丰森林湖店),大河路街道天河路6号怡丰森林湖一期,113.61802,34.89777,0371-53661199;0371-86093399,8：00——22：00
惠济区,50100,中餐厅,小菜园新徽菜(郑州惠济万达店),开元路68号万达广场室内步行街5楼,113.637243,34.868637,0371-55010577,8：00——22：00
惠济区,50100,中餐厅,仲和小馆(银通路店),河南汽车贸易中心西门旁,113.671131,34.86453,0371-53675550;15978674190,8：00——22：00
惠济区,50100,中餐厅,湘遇·口碑湖南菜,三全路与长兴路交叉口向西100m路北,113.623984,34.832958,0371-53672688,8：00——22：00
惠济区,50100,中餐厅,醉巴鲜烤鱼(英才街店),英才街与桂圆南街交叉口西北角中洲大学旅游实训楼一楼A2,113.652075,34.860027,19339913338,8：00——22：00
惠济区,50100,中餐厅,黄家老店(惠济店),黄家老店惠济店西北门旁,113.615231,34.859061,0371-63637700,8：00——22：00
惠济区,50100,中餐厅,胖哥俩肉蟹煲(惠济万达店),开元路惠济万达广场4楼,113.638279,34.86876,0371-63310509;17195034579,8：00——22：00
惠济区,50100,中餐厅,同胜祥(丰乐路总店),丰乐路与宋寨南街交叉口西南角附10号,113.63575,34.801423,0371-63300888,8：00——22：00
惠济区,50100,中餐厅,好彩猪肚鸡火锅(国基路店),长兴路街道长虹路25号国金花园,113.629749,34.819931,0371-67113358,8：00——22：00
惠济区,50100,中餐厅,膳廷居·四季药膳餐厅,国金花园东门旁,113.630191,34.820437,18503857099,8：00——22：00
惠济区,50100,中餐厅,王馍头,长兴路15-2号(王砦地铁站C口步行180米),113.625714,34.82202,19037158338,8：00——22：00
惠济区,50100,中餐厅,半天妖烤鱼(惠济万达店),开元路68号万达广场(郑州惠济店)5F层5051,113.636704,34.868621,15713669329,8：00——22：00
惠济区,50100,中餐厅,杨掌柜辣椒炒肉(民安北郡店),新城街道开元路100号民安北郡一期21号楼1-2层附1819号,113.621823,34.867976,18790263151,8：00——22：00
惠济区,50100,中餐厅,绿茶餐厅(郑州惠济万达店),开元路68号万达广场5楼5007,113.635335,34.869016,0371-60956882,8：00——22：00
惠济区,50100,中餐厅,洛城外砂锅现切牛肚(总店),丰乐路与生产路交叉口往东100米路北,113.649089,34.78493,17734808255,7：00——22：00
惠济区,50100,中餐厅,京小凤鲜炒大盘鸡(南阳路店),刘寨街道南阳路185号裕华文汇,113.631822,34.801091,19337113358,8：00——22：00
惠济区,50100,中餐厅,驴秀才田园路店(郑州总店),水镜怡园小区22栋一层商铺23号,113.662975,34.869097,15238347779;18836973918,8：00——22：00
