区域,餐饮类型编码,餐饮类型名称,POI名称,详细地址,经度(lon),纬度(lat),联系电话,营业时段
新密市,50100,中餐厅,西秀印象(东郡一品店),东大街东郡一品工商银行隔壁,113.409218,34.536176,0371-55608180;0371-86577111,8：00——22：00
新密市,50100,中餐厅,中庚园林农庄,小南沟附近,113.442911,34.439813,0371-69249666;15617850999,8：00——22：00
新密市,50100,中餐厅,西秀名菜楼,未来大道中段(二高向南10米路西),113.337309,34.530784,0371-69806555,8：00——22：00
新密市,50100,中餐厅,俏鸭头特色火锅(新密店),溱水路京轩宾馆西侧,113.371709,34.542053,0371-69992111;18738171210,8：00——22：00
新密市,50100,中餐厅,辣椒厨房(新密店),青屏大街与长庆西街交叉口路北,113.368849,34.539549,0371-63177369;13101710677,8：00——22：00
新密市,50100,中餐厅,西秀鸽宴,人和花园北门东80米,113.34674,34.542403,0371-55608182;0371-69871168,8：00——22：00
新密市,50100,中餐厅,望山农庄,米村镇贾寨村幸福路,113.258552,34.566086,13203893666;18003713555,8：00——22：00
新密市,50100,中餐厅,三八烩面馆(开阳路店),开阳路北段农业银行北30米,113.379439,34.540708,15136102077;17303835628,8：00——22：00
新密市,50100,中餐厅,秘制地锅大灶台,大学南路与天安街交叉口路东,113.649051,34.519782,0371-57114658,8：00——22：00
新密市,50100,中餐厅,半天妖烤鱼(中强光年城市广场店),西大街与大鸿路交叉口中强光年4层中庭4010号,113.361159,34.537254,18137870730,8：00——22：00
新密市,50100,中餐厅,姐妹粥(溱水路店),溱水路与花园路交口路北姐妹粥五楼,113.372613,34.542685,0371-69994567;15515677939,8：00——22：00
新密市,50100,中餐厅,一品德(长乐路店),长乐路580号,113.366196,34.541196,0371-69206888,8：00——22：00
新密市,50100,中餐厅,西部大盘鸡(总店),溱水路与大鸿路交叉口向东10米路南,113.363329,34.542003,0371-69859982,8：00——22：00
新密市,50100,中餐厅,禾珍珠家常小馆(开阳路店),开阳路与育才街西路口鲁班玫瑰园,113.378382,34.545006,0371-61031999;13663806197,8：00——22：00
新密市,50100,中餐厅,合掌柜辣椒炒肉,青屏大街与长乐路交叉口向北50米路东,113.366668,34.539969,0371-56028678;15936222258,8：00——22：00
新密市,50100,中餐厅,德蕙苑酒店(新华路店),开阳路与新华路交叉口向东20米路北,113.381164,34.525646,0371-55155558;19939943666,8：00——22：00
新密市,50100,中餐厅,鲁班土菜馆(溱水路店),溱水路与周楼街39号交叉口东南角,113.375105,34.542046,15138657313,8：00——22：00
新密市,50100,中餐厅,虎丫炒鸡(河南郑州新密中强光年店),西大街与诚信路交叉口中强光年,113.359981,34.536284,13103860175,8：00——22：00
新密市,50100,中餐厅,姐妹粥精品酒楼(平安路店),平安路212号,113.356849,34.537499,0371-63104567;13140096567,8：00——22：00
新密市,50100,中餐厅,雪龙轩中餐厅(银基冰雪酒店),银基冰雪酒店冰川区1楼,113.553406,34.480809,0371-60886022,8：00——22：00
新密市,50100,中餐厅,歆鱼坊鲜烤全鱼(平安路店),青屏街街道平安路85号阳光丽景,113.35744,34.530698,0371-63116677,8：00——22：00
新密市,50100,中餐厅,上和家宴,未来大道二高南500米,113.337257,34.529535,0371-69881666,8：00——22：00
新密市,50100,中餐厅,大滇园火锅(新密店),西大街199号,113.370815,34.536044,0371-69898966;0371-69898977,8：00——22：00
新密市,50100,中餐厅,虎丫炒鸡(河南郑州新密金巴斗店),青屏大街金巴斗商业中心5楼,113.351825,34.540261,19939135732,8：00——22：00
新密市,50100,中餐厅,拾年融合餐厅,西大街办事处平安路金海洋房5号楼JHY11号,113.356773,34.539067,0371-85888555;18638261177,8：00——22：00
新密市,50100,中餐厅,山食记.农家,袁庄乡槐阴寺村五组,113.360703,34.601358,18638219000,8：00——22：00
新密市,50100,中餐厅,歆鱼坊鲜烤全鱼(溱水桥店),溱水路新世纪学校斜对面,113.39834,34.541645,0371-69962202,8：00——22：00
新密市,50100,中餐厅,心媛妈妈菜(杏苑社区店),伏羲山管委沙古堆村杏苑社区商业街6、7号,113.292572,34.610943,15517561877,8：00——22：00
新密市,50100,中餐厅,合掌柜辣椒炒肉(西城国基店),西大街办事处西城国基S605,113.337425,34.541042,0371-69777769;13623830184,8：00——22：00
新密市,50100,中餐厅,阿润打边炉(新密青屏大街店),青屏大街与诚信路交叉口向西五十米路南,113.359361,34.53947,17538133886,8：00——22：00
新密市,50100,中餐厅,聚鲜阁烩面(溱水桥一分店),溱水路31号,113.399197,34.541688,15639903365,8：00——22：00
新密市,50100,中餐厅,农家地锅炖(邵东家),雪花街160号,113.370232,34.537368,16696622200,8：00——22：00
新密市,50100,中餐厅,曹大权地锅炖,青屏大街855号,113.361465,34.539386,15538379770,8：00——22：00
新密市,50100,中餐厅,合记烩面(新密店),新密市人民法院米村人民法庭南门旁,113.310203,34.54982,0371-85811666,8：00——22：00
新密市,50100,中餐厅,祥和农庄,好家园生活广场NO.3东(东柿路),113.365497,34.564055,0371-69830788,8：00——22：00
新密市,50100,中餐厅,湖南大碗菜(京密店),溱水路506号,113.378022,34.542747,15738366068,8：00——22：00
新密市,50100,中餐厅,新疆饭店(民康路三十二年经典大盘鸡老店),民康路21号,113.394352,34.53394,0371-69824701;15838218989,8：00——22：00
新密市,50100,中餐厅,大土鳖鲜烧甲鱼(西大街店),雪松大道1007号,113.352236,34.535719,18736560348;18836672520,8：00——22：00
新密市,50100,中餐厅,鼎鲜信阳大盆菜,长庆路35号,113.369865,34.538146,18224502888,8：00——22：00
新密市,50100,中餐厅,彩红羊肉馆,荥密路郑少高速新密西出口向南200米路西,113.311141,34.563704,13837161045;15136121237,8：00——22：00
新密市,50100,中餐厅,尚福小炒黄牛肉,人和花园北门旁,113.345707,34.542482,19036978333,8：00——22：00
新密市,50100,中餐厅,喜悦龙虾城,育才街199号,113.386514,34.544395,0371-61031976;0371-61031981,8：00——22：00
新密市,50100,中餐厅,面的故事(西大街店),西大街办事处后土郭村(办事处西20米),113.332323,34.536642,13333867997;13838307887;13849177722,8：00——22：00
新密市,50100,中餐厅,鱼你在一起(新密中强光年店),西大街380号,113.361102,34.537268,0371-69986111;16696650066,8：00——22：00
新密市,50100,中餐厅,人民公社大食堂(刘寨店),刘寨镇刘寨小区底商563公交站对面,113.547185,34.489948,15136452085;18650515506,8：00——22：00
新密市,50100,中餐厅,沈家小厨(北密新路),北密新路184号,113.395816,34.538449,13526810222,8：00——22：00
新密市,50100,中餐厅,花雕醉鸡(新密店),青屏大街与北密新路交叉口东20米路北38号,113.396559,34.53952,15638115188;18838970998,8：00——22：00
新密市,50100,中餐厅,豫祥食府,刘寨镇刘寨街邮政储蓄向南100米路东,113.544859,34.491346,15036055168;15290863088,8：00——22：00
新密市,50100,中餐厅,飞鸟餐厅,刘寨镇大鸿路1号郑州银基国际旅游度假区,113.549413,34.485208,13523508884,8：00——22：00
新密市,50100,中餐厅,田野饭庄,伏羲山景区X025(石尖路)对面,113.296891,34.606259,15515635805,8：00——22：00
新密市,50100,中餐厅,鲁家烤全羊,青屏大街与未来大道交叉口往西400米路南,113.332575,34.539375,18937181008,8：00——22：00
新密市,50100,中餐厅,今福源,来集镇裴沟社区南侧130米,113.459968,34.509193,0371-63150777;13592406186,8：00——22：00
