区域,餐饮类型编码,餐饮类型名称,POI名称,详细地址,经度(lon),纬度(lat),联系电话,营业时段
新郑市,50100,中餐厅,赵记红光卤肉烩面(总店),创业路世基城市广场B座(农业银行隔壁),113.752866,34.420247,15515803299,8：00——22：00
新郑市,50100,中餐厅,高粱雨辣椒厨房(总店),航空港区翠园迎宾馆西北门北150米,113.83305,34.537396,0371-63357890;18539281101,8：00——22：00
新郑市,50100,中餐厅,解家河南菜(龙湖御景店),龙湖镇双湖大道与紫荆山南路西南角,113.694046,34.609235,0371-67546777,8：00——22：00
新郑市,50100,中餐厅,阿庄新豫菜(南龙湖店),大爱城西1门南90米,113.711898,34.594717,0371-58556888;0371-58556899;18903717816,8：00——22：00
新郑市,50100,中餐厅,胡庆一重庆火锅(祥安路店),康桥溪桂园北门东60米,113.722776,34.604052,0371-55882855,8：00——22：00
新郑市,50100,中餐厅,森虎虾尾(总店),郑州昇达经贸管理学院北门西100米,113.690869,34.597688,4001869889,8：00——22：00
新郑市,50100,中餐厅,那拉提新疆特色餐厅(龙湖店),龙湖镇祥云路与紫金山南路交叉口向北500米路东199号,113.695645,34.634294,18939522188,8：00——22：00
新郑市,50100,中餐厅,熊喵来了火锅(郑州新郑龙湖锦艺城店),龙湖镇双湖大道152号龙湖锦艺城购物中心4层4F-01,113.725615,34.613913,0371-63295185,8：00——22：00
新郑市,50100,中餐厅,无名冒菜(新郑店),和谐街与同乐路交叉口北80米,113.7582,34.419037,18037155246,8：00——22：00
新郑市,50100,中餐厅,茗荷园信阳土家菜(同乐路店),中华北路与同乐路交叉口向东200米路南,113.757514,34.418,0371-63207677;13523560868,8：00——22：00
新郑市,50100,中餐厅,清芳园(龙湖店),龙湖镇淮海路与翠竹路交叉口向北200米路东,113.67849,34.593855,0371-62575666,8：00——22：00
新郑市,50100,中餐厅,豫盛和烩面,航空港区振兴路与机场迎宾大道交叉口向北20米路东,113.832615,34.53357,0371-53365777;0371-53365888,8：00——22：00
新郑市,50100,中餐厅,辣椒厨房(祥安路店),龙湖镇祥安路龙湖名郡一号楼底商,113.690975,34.603846,0371-55880667,8：00——22：00
新郑市,50100,中餐厅,胡庆一重庆老火锅(华祥国贸店),华祥国贸商场4层(双湖大道地铁站B2口步行360米),113.681659,34.610937,0371-64490995,8：00——22：00
新郑市,50100,中餐厅,兰湘子.湘菜小炒(郑州华盛奥特莱斯店),华南一路与环西路交叉口南侧二号交易广场4楼4b-15号,113.727831,34.604309,19903821014,8：00——22：00
新郑市,50100,中餐厅,廣順興(南龙湖店),紫荆山南路与祥云路交叉口向北20米路东,113.69572,34.630595,0371-55886768,8：00——22：00
新郑市,50100,中餐厅,喜湘湘湖南乡野小炒,,113.768333,34.408192,0371-66503966,8：00——22：00
新郑市,50100,中餐厅,虎丫炒鸡(河南郑州新郑万佳商业广场店),万佳商业广场1层1050-1-5号,113.715958,34.611938,19138111959,8：00——22：00
新郑市,50100,中餐厅,袁老四重庆老火锅(新尚天地店),文化路与通达街交叉口东南角(新尚天地2号楼1层),113.738711,34.42155,0371-69666686,8：00——22：00
新郑市,50100,中餐厅,怀生记小馆(港区店),航空港区长安路与鄱阳湖交叉口西北角,113.846142,34.569641,0371-60155789;13522143881,8：00——22：00
新郑市,50100,中餐厅,半天妖烤鱼(郑州华盛奥特莱斯店),环西路华盛奥特莱斯4层直梯左侧,113.727875,34.604475,0371-55181229;18560662934,8：00——22：00
新郑市,50100,中餐厅,廣順興(新郑店),湖滨路与能庄北路东北角克拉公馆裙楼1-17212号商铺,113.749769,34.421315,18539984518,8：00——22：00
新郑市,50100,中餐厅,京熙·涮肉(云港路店),航空港区润丰·悦尚二区西门旁,113.8324,34.537235,0371-58551118,8：00——22：00
